"","initial_value"
"APOM",0.53
"ZMAT5",0.35
"LIN37",0.44
"KLHL9",0.61
"SULF2",0.75
"SEPT3",0.67
"AJAP1",0.44
"NDUFA12",0.9
"NSFL1C",0.71
"C20orf24",0.92
"GNG12",0.81
"BAIAP2L1",0.7
"SLC25A40",0.82
"BCAP29",0.85
"SLC50A1",0.44
"KLHL7",0.81
"CFC1",0.62
"NXF5",0.4
"NXF4",0.18
"NXF3",0.58
"NXF2",0.46
"MYDGF",0.74
"SMG9",0.52
"BARX1",0.24
"PDGFC",0.85
"ALG1",0.75
"UBFD1",0.87
"KLHL4",0.41
"TMEM234",0.55
"PCDHGC5",0.37
"PCDHGC4",0.43
"PCDHGB7",0.23
"PCDHGB6",0.32
"PCDHGB5",0.33
"PCDHGB3",0.22
"PCDHGB2",0.26
"PCDHGB1",0.25
"PCDHGA11",0.33
"PCDHGA10",0.22
"PCDHGA9",0.38
"PCDHGA7",0.21
"PCDHGA6",0.28
"PCDHGA5",0.31
"PCDHGA4",0.35
"PCDHGA3",0.44
"PCDHGA2",0.24
"PCDHGA1",0.52
"PCDHG@",0.13
"PCDHA@",0.13
"PCDHGB8P",0.46
"PCDHB15",0.55
"PCDHB14",0.73
"PCDHB13",0.47
"PCDHB12",0.38
"PCDHB11",0.35
"PCDHB10",0.65
"PCDHB9",0.53
"PCDHB8",0.25
"PCDHB7",0.53
"PCDHB6",0.38
"PCDHB4",0.48
"PCDHB3",0.34
"PCDHB2",0.62
"PCDHAC2",0.54
"PCDHAC1",0.23
"PCDHA13",0.23
"PCDHA12",0.61
"PCDHA11",0.2
"PCDHA10",0.39
"PCDHA8",0.19
"PCDHA7",0.3
"PCDHA6",0.53
"PCDHA5",0.23
"PCDHA4",0.31
"PCDHA3",0.29
"PCDHA2",0.39
"PCDHA1",0.25
"TEX15",0.54
"TEX14",0.46
"TEX13B",0.21
"TEX13A",0.59
"TEX12",0.29
"TEX11",0.46
"NDNL2",0.67
"RNF17",0.36
"STK31",0.61
"TDRD1",0.3
"GSDMC",0.65
"DNAH7",0.59
"ANKH",0.77
"MOSPD1",0.6
"MTFR1L",0.82
"LMOD3",0.54
"FAM214A",0.78
"SUSD2",0.55
"ZNF253",0.73
"KIAA1217",0.71
"BTNL2",0.23
"C21orf62",0.48
"MRAP",0.26
"YLPM1",0.56
"CRTAM",0.26
"RNF20",0.73
"TMX4",0.63
"SERTAD4",0.67
"MEPCE",0.66
"CTNNBL1",0.47
"C8orf44",0.65
"GPCPD1",0.87
"LRRC8A",0.75
"CPXM1",0.56
"CCBL2",0.78
"IRGC",0.33
"WDR45B",0.71
"BEX4",0.7
"GKN1",0.32
"PARD3",0.78
"IL36G",0.41
"SLC7A10",0.27
"TRPV5",0.32
"ANKRD7",0.4
"METTL3",0.7
"PRMT8",0.63
"PPAN",0.6
"CABP5",0.35
"LTB4R2",0.27
"CTPS2",0.73
"RPRM",0.5
"CCL28",0.56
"EIF4ENIF1",0.55
"KCNQ5",0.59
"DNAJC12",0.68
"MMP26",0.29
"CHST7",0.62
"CYP26B1",0.69
"TUBB7P",0.36
"ERO1B",0.52
"SLC2A9",0.61
"DIABLO",0.64
"INPP5E",0.59
"ASAH2",0.2
"BCCIP",0.86
"EIF5A2",0.78
"TMPRSS4",0.38
"CLDND1",0.72
"LINC00470",0.38
"C10orf2",0.59
"NPDC1",0.68
"POLE4",0.85
"OR2S2",0.31
"TRIM39",0.67
"KCNK13",0.23
"KCNK12",0.36
"VTRNA1-1",0.11
"PANX2",0.66
"MUC13",0.6
"SUCNR1",0.45
"AKIP1",0.76
"C11orf16",0.3
"TMEM9B",0.88
"NRIP3",0.56
"ASCL3",0.34
"FABP3P2",0.17
"SAR1A",0.73
"C21orf59",0.57
"JPH1",0.66
"RETN",0.27
"SLC2A4RG",0.68
"BARHL1",0.47
"FMN2",0.58
"ZC3HAV1",0.88
"IFNK",0.43
"SLAMF8",0.65
"GPR137",0.59
"SPHK2",0.53
"TCEAL7",0.67
"GRIPAP1",0.79
"EMC7",0.69
"RAD18",0.85
"CELF4",0.42
"CDC42SE1",0.73
"FSTL5",0.56
"UGGT1",0.76
"KCMF1",0.86
"TM9SF3",0.76
"MDM1",0.58
"LGALS14",0.32
"C8orf4",0.59
"UBQLN4",0.74
"AGPAT3",0.82
"AGPAT4",0.58
"DPYSL5",0.48
"WRNIP1",0.5
"BDH2",0.8
"ANKS1B",0.51
"TMEM167B",0.85
"NDUFA4L2",0.5
"PNO1",0.78
"PAPOLB",0.56
"SH3GLB2",0.68
"C15orf39",0.6
"THAP10",0.54
"SPIRE1",0.75
"STARD7",0.81
"MAP3K7CL",0.45
"IFT46",0.6
"C1GALT1",0.56
"OTOR",0.37
"EXOSC5",0.57
"SMARCAD1",0.79
"MEIS3",0.39
"C2orf83",0.21
"DHX33",0.79
"SEMA3G",0.51
"MCCC1",0.51
"NMUR2",0.64
"PAK6",0.45
"LXN",0.55
"NCLN",0.57
"GPR108",0.73
"SPPL2B",0.67
"FEM1C",0.78
"DUS3L",0.6
"CA10",0.47
"SMCO4",0.65
"CCDC177",0.25
"PMEPA1",0.66
"ARNTL2",0.72
"DUSP22",0.82
"HMCES",0.66
"CMC2",0.84
"ENY2",0.81
"OLFML3",0.68
"MRPS22",0.84
"C11orf30",0.75
"MFF",0.82
"SDR39U1",0.61
"XAB2",0.37
"SMYD2",0.83
"C5orf15",0.65
"PRTFDC1",0.82
"NT5M",0.49
"NIT2",0.66
"MEPE",0.26
"LHX9",0.28
"OTUD7B",0.7
"SHD",0.48
"RGMA",0.56
"WDR93",0.61
"PARP6",0.78
"C14orf132",0.71
"RPL23AP32",0.34
"ATXN7L3",0.71
"CEACAM19",0.69
"FAM20C",0.66
"STOX2",0.58
"PRDM8",0.63
"PRDM9",0.31
"PRDM10",0.55
"PRDM11",0.29
"POGLUT1",0.52
"PSMG2",0.73
"ADPRM",0.75
"DTWD1",0.72
"BBX",0.83
"CDC42SE2",0.78
"KIF15",0.85
"TOMM22",0.81
"CHPT1",0.83
"TULP4",0.73
"SLC12A9",0.58
"ADCK3",0.77
"CTNNBIP1",0.67
"ADAMTS9",0.73
"GSN-AS1",0.25
"SDHAF3",0.56
"YAE1D1",0.71
"CCDC47",0.82
"UNGP2",0.21
"ACKR3",0.75
"CABP4",0.31
"AKR1B10",0.72
"COQ9",0.63
"CCNL1",0.8
"CIAPIN1",0.77
"C16orf62",0.64
"PDXP",0.76
"SLC17A7",0.55
"RSRP1",0.67
"ANKMY2",0.67
"RARS2",0.8
"TWSG1",0.84
"PLSCR2",0.37
"PLSCR3",0.69
"UTP3",0.52
"CHRNA10",0.46
"DAZ3",0.32
"DAZ2",0.34
"TBX20",0.22
"PCBP4",0.59
"HYMAI",0.24
"DDX24",0.65
"CASC5",0.81
"SLC17A6",0.27
"AGTRAP",0.57
"PLSCR4",0.69
"ENTPD7",0.63
"CASS4",0.3
"PCNP",0.73
"TRIM49",0.29
"CPA6",0.64
"PITHD1",0.8
"RPGRIP1",0.3
"PARP11",0.71
"AVEN",0.56
"ANO2",0.72
"C12orf4",0.83
"TIGAR",0.7
"PNPLA2",0.54
"CYSLTR2",0.4
"NAT14",0.73
"PDSS2",0.64
"SETD8P1",0.11
"REXO4",0.55
"HRASLS",0.69
"RAB25",0.78
"TRPC7",0.33
"PGLYRP4",0.6
"ZNF695",0.45
"INTS12",0.57
"CAMK1D",0.7
"EPPIN",0.37
"GOPC",0.82
"LPAR5",0.55
"NUP107",0.82
"CD248",0.47
"PLXDC1",0.74
"CD177",0.29
"RHBG",0.34
"LYRM4",0.82
"MRPL47",0.84
"ATP13A1",0.64
"CHMP1B",0.51
"MAN1C1",0.72
"DAZ4",0.27
"APMAP",0.71
"RGL3",0.45
"RNPEPL1",0.45
"RTN4",0.77
"ADCK1",0.71
"PAK7",0.49
"TMEM159",0.59
"SCYL3",0.52
"RALGAPB",0.54
"LYRM1",0.58
"SMIM8",0.64
"LYZL6",0.33
"SLURP1",0.4
"SLC44A2",0.85
"SMURF1",0.84
"TMEM63C",0.54
"PHTF2",0.69
"JPH2",0.73
"TRIM54",0.49
"PELI2",0.56
"PELI1",0.81
"GJC2",0.38
"SALL4",0.45
"ASPHD2",0.71
"ZNFX1",0.83
"DOLPP1",0.6
"CAMK1G",0.44
"CORO1B",0.6
"VARS2",0.76
"ZMIZ1",0.68
"KIAA1191",0.74
"ACTR3B",0.63
"SLC39A10",0.83
"ANKRD50",0.76
"FAM219B",0.85
"NIPAL3",0.77
"RALGAPA2",0.49
"THOC2",0.7
"ADAMTSL3",0.66
"KIAA1147",0.71
"SEPN1",0.48
"VN1R1",0.31
"MCOLN1",0.56
"ATP10A",0.43
"ATP8B2",0.76
"ATP10D",0.68
"ZNF248",0.43
"SLC45A4",0.76
"ADGRG6",0.72
"TP73-AS1",0.43
"SPRYD7",0.65
"CEMIP",0.6
"THAP11",0.65
"VANGL2",0.63
"TTC7A",0.67
"ARFGEF3",0.69
"ERGIC1",0.77
"PPP4R3B",0.83
"NHSL1",0.7
"LYRM2",0.63
"SMAGP",0.43
"SNX14",0.8
"ZNF630",0.52
"LINC00869",0.3
"SLC4A10",0.24
"DANCR",0.76
"KIR2DL5A",0.3
"CSRP2BP",0.78
"PBXIP1",0.83
"CBX8",0.38
"RCN3",0.6
"ZNF286A",0.61
"ZNF287",0.32
"SENP7",0.69
"JPH3",0.46
"ZNF304",0.4
"TTYH1",0.55
"GJD2",0.38
"AICDA",0.52
"MRS2",0.65
"RHOJ",0.76
"TMEM27",0.57
"CLK4",0.69
"S100A14",0.68
"RAB22A",0.76
"CYP20A1",0.4
"SPC25",0.94
"ABHD6",0.55
"NMRAL1",0.75
"LRTM1",0.41
"MIF4GD",0.77
"SCYL1",0.65
"AS3MT",0.49
"RHBDD2",0.75
"C3orf14",0.52
"WDR18",0.54
"SLC24A3",0.59
"NDRG3",0.49
"NDRG2",0.69
"BIRC6",0.78
"PLEKHG5",0.46
"TENM2",0.6
"GALNT16",0.75
"DSCAML1",0.35
"REXO1",0.51
"KIAA1143",0.73
"TMCC3",0.7
"GATAD2B",0.61
"PPM1H",0.64
"ISY1",0.53
"KIAA1161",0.51
"AMIGO1",0.38
"STRIP2",0.76
"TBC1D24",0.72
"SCAF4",0.76
"HHATL",0.43
"SLC12A5",0.33
"PNMAL2",0.48
"LRRC47",0.49
"ERMN",0.58
"CNOT6",0.77
"ZNF512B",0.54
"ZNF490",0.58
"PLEKHH1",0.68
"GRAMD1B",0.42
"SHROOM4",0.42
"USP31",0.8
"PRR12",0.55
"PLEKHG1",0.51
"KIAA1210",0.52
"KIAA1211",0.63
"RNF150",0.66
"NLN",0.81
"ESYT2",0.85
"ODF2L",0.69
"AHRR",0.56
"ARID1B",0.61
"HEG1",0.74
"RIMKLB",0.7
"NWD2",0.58
"MKL2",0.55
"LRFN2",0.32
"KIDINS220",0.68
"KIAA1257",0.56
"NLGN4X",0.45
"MTA3",0.66
"AARS2",0.62
"MAVS",0.69
"ZNF608",0.66
"INTS2",0.77
"MTUS1",0.86
"XPO5",0.82
"COG6",0.67
"GPR158",0.38
"CASKIN2",0.53
"ARHGAP31",0.62
"SERINC1",0.83
"STARD9",0.48
"HECW2",0.62
"RPTOR",0.68
"SRGAP1",0.79
"NYNRIN",0.51
"CASKIN1",0.63
"PCDH19",0.6
"KCTD16",0.71
"RGAG1",0.48
"CGN",0.62
"HACE1",0.78
"NUFIP2",0.83
"TBC1D14",0.76
"MIB1",0.85
"KIAA1324",0.65
"KIAA1328",0.5
"SORCS2",0.61
"ALPK3",0.68
"WDR35",0.77
"PTCHD2",0.47
"ZNF398",0.72
"KLHL42",0.77
"TXNDC16",0.7
"CC2D2A",0.72
"PDP2",0.49
"ZNF624",0.66
"IGSF9",0.63
"TAOK1",0.75
"NCEH1",0.82
"MICAL3",0.72
"LRRC7",0.48
"NLGN2",0.73
"SEMA6A",0.81
"USP35",0.57
"STAMBPL1",0.77
"IFT80",0.64
"ARRDC3",0.8
"CEP126",0.75
"KLHL8",0.49
"KLHL14",0.51
"ZNF319",0.67
"SIPA1L2",0.74
"ARHGAP20",0.67
"TRMT5",0.78
"CARNS1",0.62
"DOCK6",0.59
"ZNF471",0.23
"MARCH4",0.67
"PCDH10",0.69
"KIF17",0.38
"CCDC191",0.74
"UNC79",0.5
"FAM135A",0.65
"PREX1",0.63
"KCNT1",0.25
"TMEM181",0.55
"ARHGAP21",0.79
"CRAMP1",0.57
"SYT13",0.65
"CFAP97",0.8
"RIC1",0.66
"WDFY1",0.81
"MKL1",0.55
"ZNF687",0.67
"EBF4",0.3
"HOMEZ",0.57
"PDZD4",0.53
"BEGAIN",0.31
"BAHCC1",0.56
"WDR48",0.54
"FNIP2",0.81
"USP36",0.8
"KIAA1456",0.53
"PITPNM2",0.77
"SLAIN2",0.83
"KIAA1462",0.68
"DIP2B",0.55
"RANBP10",0.69
"ISLR2",0.42
"ERV3-2",0.25
"FAM234B",0.53
"KIAA1468",0.83
"ZNF492",0.25
"TSHZ3",0.71
"VPS18",0.82
"SHROOM3",0.8
"STIM2",0.62
"ZBTB2",0.8
"LRFN1",0.53
"ZFAT",0.69
"NYAP2",0.57
"KLHL1",0.48
"DPP10",0.54
"SH3RF1",0.76
"LRCH2",0.66
"LRRN1",0.56
"EP400",0.73
"ARHGAP23",0.72
"CCDC146",0.62
"COL20A1",0.58
"ZSWIM5",0.6
"MYH7B",0.49
"POGK",0.73
"USP28",0.59
"DHX37",0.79
"KIAA1522",0.74
"PHF12",0.64
"KIAA1524",0.72
"LOC100499484-C9ORF174",0.11
"UVSSA",0.56
"GRAMD1A",0.68
"HCN3",0.66
"CALCOCO1",0.71
"ZBTB4",0.83
"PHRF1",0.53
"CAMSAP3",0.58
"USP29",0.24
"PLEKHA4",0.47
"RDH14",0.53
"FBRSL1",0.77
"EPB41L5",0.59
"KIAA1549",0.72
"BEND3",0.41
"RNF213",0.76
"ZFP14",0.46
"GPAM",0.68
"ALS2",0.76
"CHD8",0.64
"ZDBF2",0.64
"ZBTB26",0.32
"CACHD1",0.59
"VAT1L",0.55
"ZSWIM6",0.81
"LRRC4C",0.52
"TNRC6C",0.79
"KIAA1586",0.66
"MAGEE1",0.73
"ZNF317",0.83
"USP37",0.67
"DDX55",0.73
"FANCM",0.72
"SHTN1",0.65
"CPNE5",0.6
"FAM160B1",0.83
"NCKAP5L",0.3
"CWC22",0.8
"GBA2",0.67
"WDFY4",0.55
"DENND1A",0.66
"TLDC1",0.58
"MIER1",0.65
"SLC7A14",0.6
"KIAA1614",0.27
"ZNF529",0.58
"SFMBT2",0.59
"SEMA4G",0.49
"PRX",0.3
"PCDHB16",0.48
"PPP4R4",0.53
"ANO8",0.54
"GPR107",0.69
"METTL14",0.73
"IGDCC4",0.59
"EPG5",0.68
"NCOA5",0.8
"WDR19",0.72
"ANKRD36B",0.66
"SPTBN4",0.55
"ZFYVE28",0.56
"GBA3",0.46
"SCUBE2",0.48
"TRIB3",0.73
"ANKRA2",0.62
"RBAK",0.65
"MARK4",0.61
"SUGP1",0.65
"BRINP2",0.52
"DKFZP761C1711",0.52
"GATAD1",0.72
"RAB40C",0.56
"HES4",0.61
"POLD4",0.6
"CCAR2",0.64
"HAMP",0.37
"G6PC2",0.35
"LSM2",0.83
"CCNB1IP1",0.6
"CCDC181",0.4
"GRHL3",0.72
"SLAMF7",0.54
"HMHB1",0.28
"RAP2C",0.8
"C6orf47",0.29
"CATSPERG",0.58
"ZP4",0.57
"KRTAP5-8",0.32
"CYP4F11",0.38
"SLC4A5",0.75
"ZNF410",0.68
"CADM3",0.68
"SLC46A2",0.5
"MUC3B",0.24
"PTBP2",0.49
"NGB",0.64
"NEUROD4",0.31
"NFE4",0.18
"RBPJP4",0.22
"WFDC1",0.42
"CTDSP1",0.59
"CXCL16",0.73
"SQRDL",0.8
"PLEKHB1",0.53
"MS4A7",0.65
"TP53INP2",0.76
"SRPRB",0.78
"ENOPH1",0.72
"RHOU",0.65
"LINC00474",0.34
"NLRC4",0.45
"TRAPPC1",0.82
"ZBED5",0.52
"CREBZF",0.79
"PCTP",0.71
"ABHD17C",0.62
"RPRD1B",0.64
"ZNF71",0.64
"ZNF77",0.7
"INIP",0.82
"JAM2",0.62
"OVOL2",0.55
"LY6G5B",0.63
"PRUNE",0.78
"MYL7",0.42
"ZNF462",0.62
"ZNF250",0.61
"PROL1",0.34
"ARHGAP22",0.58
"OSTC",0.82
"SCAF1",0.61
"KMT2C",0.79
"CACTIN",0.44
"PRODH2",0.62
"DNASE2B",0.38
"DLGAP3",0.28
"EPS15L1",0.69
"SELK",0.77
"FAM60A",0.76
"RBM25",0.85
"DMRT3",0.45
"WIZ",0.57
"MID1IP1",0.6
"ABRACL",0.82
"RRAGD",0.82
"MYOZ1",0.48
"LY6G6D",0.39
"PRM3",0.5
"SNX6",0.85
"MPP4",0.3
"IL22RA1",0.4
"TMEM8A",0.79
"IL21",0.24
"CARD18",0.55
"ENPP5",0.67
"HIVEP3",0.68
"EVA1C",0.59
"ACE2",0.55
"MESDC1",0.77
"NTN4",0.72
"CACNG8",0.45
"CACNG7",0.45
"CACNG6",0.61
"UBL5",0.78
"SIGIRR",0.62
"PRDM12",0.27
"PRDM13",0.27
"PLEKHA1",0.81
"PLEKHA2",0.77
"HRH4",0.54
"TRPV4",0.36
"SCPEP1",0.61
"SENP2",0.8
"ALOXE3",0.4
"GNB4",0.77
"TPT1P8",0.2
"ZNF350",0.64
"KLHL12",0.82
"RXFP1",0.44
"PBOV1",0.52
"LGR6",0.43
"TMEM35",0.4
"AFAP1",0.49
"GPBP1L1",0.87
"C12orf10",0.79
"FAM3A",0.57
"ERVK-5",0.1
"AVPI1",0.67
"TSKS",0.46
"SLC25A19",0.59
"EDA2R",0.34
"EXOC4",0.7
"TGIF2",0.51
"CDH26",0.45
"TTTY2",0.23
"BPESC1",0.17
"BACH2",0.58
"ELOVL5",0.84
"SLC5A7",0.58
"HAPLN2",0.27
"SAV1",0.85
"TRMT11",0.56
"MRPS35",0.83
"APOBEC3G",0.5
"PPCDC",0.49
"NIF3L1",0.89
"CCDC90B",0.64
"FASTKD5",0.5
"CCDC81",0.32
"HPSE2",0.4
"AASDHPPT",0.65
"NYX",0.44
"AGBL5",0.69
"LDAH",0.52
"ELAC2",0.66
"ALX4",0.27
"GUF1",0.78
"SPCS3",0.85
"NAA35",0.51
"RINT1",0.5
"SCOC",0.86
"KCNK15",0.36
"DHX35",0.46
"RIC8A",0.57
"MIIP",0.71
"ATG101",0.66
"GAS5",0.78
"PROK2",0.57
"PAPPA2",0.71
"CELF6",0.53
"EEFSEC",0.82
"CELF5",0.6
"FKBP10",0.52
"SMAP1",0.71
"TRAPPC11",0.68
"ZFAND3",0.77
"C14orf93",0.31
"SLC22A23",0.69
"BCORL1",0.72
"CELA2A",0.43
"SRR",0.77
"BCAN",0.71
"ABHD4",0.74
"MRPL17",0.75
"PKNOX2",0.72
"FAM204A",0.82
"RNF123",0.79
"THADA",0.47
"UBE2O",0.47
"VIPAS39",0.64
"PIEZO2",0.64
"HEATR6",0.46
"SH2D4A",0.68
"NSUN3",0.58
"FAM111A",0.67
"DUSP21",0.36
"MANBAL",0.85
"GPATCH3",0.31
"NAPB",0.74
"SLC17A9",0.62
"LINC01590",0.3
"BLOC1S5",0.48
"ELMO2",0.56
"GALNT11",0.59
"ZBED8",0.3
"CHTF18",0.73
"TNN",0.32
"CIDEC",0.57
"ZNF335",0.51
"ANKEF1",0.63
"CHP2",0.36
"XPNPEP3",0.51
"LOC63930",0.1
"MRPS14",0.71
"CXorf56",0.3
"MCUR1",0.65
"ZNF667",0.28
"PCIF1",0.49
"FAM217B",0.75
"GPSM3",0.58
"NECAB3",0.66
"FKBPL",0.49
"DMRTC2",0.34
"DMRTC1",0.24
"DMRTB1",0.42
"DMRTA2",0.23
"DMRTA1",0.57
"CLSPN",0.36
"TP53AIP1",0.55
"KIF13A",0.61
"NEUROG2",0.33
"NEUROD6",0.24
"PRDM16",0.66
"PRDM15",0.66
"PRDM14",0.36
"FIGNL1",0.87
"ANO3",0.34
"PCGEM1",0.38
"MYO1G",0.63
"ERVK-6",0.18
"TSPYL2",0.49
"RBM26",0.81
"PRSS22",0.56
"OXCT2",0.37
"PERP",0.87
"MMP27",0.33
"NPAS3",0.57
"CDH23",0.62
"C19orf33",0.6
"LHPP",0.55
"SLC28A3",0.41
"RBKS",0.67
"PBLD",0.67
"GOLPH3",0.59
"CLSTN2",0.57
"MCCC2",0.82
"SNX16",0.69
"GAL3ST2",0.27
"POPDC2",0.52
"SAMSN1",0.4
"SMOC1",0.58
"SMOC2",0.58
"GFRA4",0.51
"EPB41L4A",0.76
"PARVG",0.6
"ELSPBP1",0.4
"LRRC4",0.54
"TNMD",0.41
"CENPK",0.81
"NPFFR1",0.26
"RTP4",0.53
"CRLF2",0.38
"MAGEF1",0.69
"NPVF",0.23
"MOAP1",0.78
"TMBIM1",0.66
"C10orf54",0.7
"SLC39A8",0.75
"DUS1L",0.47
"RRAGC",0.74
"FN3K",0.32
"ADGRL4",0.6
"NOD2",0.43
"TINAGL1",0.55
"LIN7B",0.64
"XYLT1",0.57
"XYLT2",0.42
"IFIH1",0.72
"ABCG4",0.35
"RBSN",0.64
"PDF",0.52
"KIF9",0.75
"C17orf75",0.48
"DIO3OS",0.55
"NCAPG",0.88
"ERAP2",0.43
"NECAB1",0.63
"CARD9",0.32
"OSGEPL1",0.5
"DPEP2",0.54
"P3H1",0.57
"DPEP3",0.26
"EDDM3B",0.32
"IRF2BPL",0.77
"POPDC3",0.64
"MMS19",0.54
"LHX5",0.32
"DNAJC1",0.84
"TFB2M",0.72
"SEMA4A",0.71
"PJA1",0.61
"STRA6",0.57
"ROBO3",0.45
"TOR3A",0.75
"MLST8",0.55
"HERPUD2",0.81
"ATL2",0.8
"MS4A6A",0.63
"MS4A5",0.31
"PDLIM2",0.75
"ABCG5",0.38
"ABCG8",0.44
"PAPD5",0.76
"ARHGEF28",0.68
"RAB17",0.59
"RHBDF1",0.74
"ZSCAN31",0.54
"NOC3L",0.6
"FBRS",0.61
"RNF25",0.41
"SOX17",0.42
"NSD1",0.65
"RFWD2",0.73
"LMBR1",0.8
"XPO4",0.77
"NFKBIZ",0.8
"ARHGAP9",0.58
"HS1BP3",0.74
"AZI2",0.81
"HIF3A",0.65
"NXN",0.53
"SIL1",0.61
"IKZF4",0.69
"IKZF5",0.46
"CHST8",0.24
"MMP25",0.45
"GREM2",0.48
"ZMAT3",0.53
"GMCL1",0.59
"GMCL1P1",0.69
"ZNF106",0.68
"MPP5",0.76
"HHIP",0.66
"AKTIP",0.86
"CDH24",0.68
"CDH22",0.41
"RGS18",0.4
"WBSCR17",0.43
"KLHL25",0.51
"ARAP3",0.74
"GZF1",0.83
"C5orf28",0.78
"TMEM168",0.84
"MTMR14",0.51
"SUSD1",0.8
"DCLRE1C",0.59
"ATG3",0.6
"INF2",0.77
"POLR1E",0.72
"SUDS3",0.85
"TTC31",0.57
"NARFL",0.39
"ZDHHC6",0.72
"PCNXL4",0.67
"ACTR6",0.69
"MRPS25",0.8
"LINC00244",0.12
"NOM1",0.69
"DNAI2",0.52
"CSMD1",0.52
"TPSB2",0.61
"CPEB1",0.6
"TEKT3",0.53
"ALDH8A1",0.38
"NDST4",0.29
"CLEC7A",0.47
"GPR135",0.37
"TSPY2",0.2
"RBMY3AP",0.18
"TTTY15",0.38
"MOSPD3",0.54
"GIGYF1",0.76
"PLA2G2F",0.4
"VPS16",0.47
"EBF2",0.52
"HIAT1",0.81
"SPANXD",0.26
"CSRNP1",0.72
"SPANXC",0.3
"ANAPC1",0.65
"GORASP1",0.75
"CTAGE1",0.28
"TMPRSS3",0.38
"COPS7B",0.53
"NUCKS1",0.82
"HS3ST6",0.48
"PDIA2",0.34
"UNKL",0.59
"RPS20P2",0.11
"LINC00254",0.13
"WDR13",0.56
"SMAP2",0.78
"METTL17",0.74
"ACBD3",0.77
"MFSD1",0.84
"PLPPR2",0.47
"SMURF2",0.82
"CCDC136",0.63
"SMYD3",0.67
"C16orf58",0.49
"ATPAF1",0.83
"MARC1",0.53
"TNS3",0.81
"FAM160B2",0.83
"PARP12",0.74
"GAREM",0.59
"ZNF574",0.37
"CREB3L2",0.53
"S100PBP",0.73
"IPPK",0.63
"MEAF6",0.73
"CCDC14",0.64
"C6orf106",0.63
"ENGASE",0.53
"PCED1A",0.61
"C11orf1",0.67
"RMND5B",0.59
"FNDC3B",0.87
"MTHFSD",0.74
"MICAL1",0.59
"CERK",0.63
"AEN",0.41
"RBM15",0.77
"CRTC3",0.74
"GINS3",0.82
"TBC1D15",0.74
"EPS8L2",0.71
"LMF1",0.48
"EXO5",0.59
"IFT22",0.85
"CEP85",0.82
"DDX31",0.52
"RMND5A",0.76
"DEPTOR",0.69
"IQCH",0.5
"EFCAB6",0.61
"ARV1",0.68
"NMNAT1",0.62
"P2RY12",0.47
"IL25",0.34
"CYP3A43",0.46
"ELOVL1",0.66
"KLC2",0.47
"FNDC4",0.54
"FBXL17",0.53
"PORCN",0.41
"GNPNAT1",0.81
"ISL2",0.65
"MARCH7",0.64
"SPATA20",0.54
"YTHDC2",0.61
"SLC13A3",0.58
"ETNPPL",0.32
"TUT1",0.41
"AIDA",0.75
"USP46",0.8
"FAM129B",0.76
"VWA1",0.7
"PLEKHG2",0.61
"DCLRE1B",0.76
"NABP1",0.42
"ARMCX5",0.56
"METTL4",0.66
"RFX7",0.72
"CDCP1",0.57
"PCDH20",0.61
"PAPOLG",0.72
"C12orf43",0.45
"LPIN3",0.39
"RANBP17",0.54
"AGXT2",0.61
"BCL11B",0.59
"CASD1",0.62
"LRRC19",0.4
"SLC30A5",0.76
"CCDC71",0.27
"RASAL3",0.57
"TTC23",0.54
"MRPL14",0.88
"SMNP",0.23
"STAG3L4",0.56
"NT5DC2",0.69
"CENPH",0.74
"MRPS26",0.66
"MRPS24",0.86
"MRPS15",0.83
"MRPS11",0.74
"MRPS9",0.85
"MRPS6",0.42
"MRPS5",0.7
"MRPL41",0.74
"MRPL40",0.71
"MRPL38",0.3
"MRPL36",0.85
"MRPL34",0.7
"MRPL32",0.87
"MRPL11",0.77
"MRPL9",0.77
"MRPL1",0.88
"NDRG4",0.55
"SLC26A6",0.76
"SLC26A10",0.39
"PINK1",0.85
"REEP1",0.66
"GPBP1",0.84
"ACD",0.64
"RAPH1",0.75
"CDK15",0.69
"TMEM237",0.74
"NBEAL1",0.35
"CFLAR-AS1",0.23
"RTN4R",0.7
"MRPL44",0.85
"VPS33A",0.55
"NOL6",0.71
"TMEM135",0.57
"JMJD4",0.48
"KRI1",0.64
"MARCKSL1",0.77
"UPF3B",0.65
"UPF3A",0.71
"RSRC2",0.57
"PRAMEF1",0.31
"PRAMEF2",0.33
"INTS3",0.49
"SOWAHC",0.79
"WNK1",0.78
"PCDH15",0.46
"NADK",0.73
"ZFP69B",0.36
"SPATS2",0.77
"ZSWIM4",0.57
"C5orf42",0.52
"ZNF649",0.45
"MPPE1",0.59
"COA7",0.75
"PYCRL",0.48
"UBE2Z",0.78
"C8orf33",0.84
"WNK4",0.69
"WNK3",0.5
"WNK2",0.81
"OR2B8P",0.11
"STK33",0.57
"PLEKHA3",0.75
"IGSF6-DREV1",0.11
"PHACTR4",0.89
"BRD9",0.59
"CAPRIN2",0.62
"ZSCAN18",0.61
"GRAMD3",0.59
"AACS",0.66
"ZBTB10",0.69
"KCTD14",0.54
"ZNF747",0.79
"DLK2",0.31
"FAM173A",0.49
"FUNDC2",0.9
"DDRGK1",0.57
"MRPS34",0.54
"CENPBD1P1",0.61
"RASL11B",0.75
"C11orf95",0.55
"LRRC61",0.44
"TMEM108",0.63
"CYP4F12",0.48
