"","initial_value"
"CD5",0.45
"CD5L",0.28
"CD6",0.64
"CD7",0.44
"CD8A",0.4
"CD8B",0.55
"CD8BP",0.21
"CD9",0.76
"CD14",0.76
"CD19",0.41
"MS4A1",0.57
"MS4A3",0.33
"CD22",0.61
"CD27",0.39
"CD28",0.4
"CD80",0.47
"CD86",0.8
"TNFRSF8",0.59
"TNFSF8",0.54
"CD33",0.37
"SIGLEC6",0.47
"CD34",0.68
"CD36",0.77
"SCARB1",0.8
"SCARB2",0.83
"CD37",0.52
"CD38",0.49
"ENTPD1",0.62
"ENTPD2",0.53
"ENTPD6",0.72
"ENTPD3",0.57
"ENTPD5",0.43
"CD40",0.64
"CD40LG",0.41
"CD44",0.9
"CD47",0.87
"CD48",0.65
"CD53",0.73
"CD58",0.84
"CD59",0.88
"CD63",0.83
"CD68",0.75
"CD69",0.5
"CD70",0.5
"CD72",0.37
"CD74",0.69
"CD79A",0.41
"CD79B",0.36
"CD81",0.75
"ADGRE5",0.71
"CD151",0.63
"CDA",0.64
"CDK1",0.66
"CDK11B",0.4
"LRBA",0.71
"CDC5L",0.77
"SEPT7",0.68
"CDC6",0.89
"CDC20",0.94
"CDC25A",0.73
"CDC25B",0.81
"CDC25C",0.89
"CDC27",0.88
"CDC34",0.71
"CDC42",0.6
"CDH1",0.77
"CDH2",0.66
"CDH3",0.83
"CDH4",0.63
"CDH5",0.63
"CDH6",0.7
"CDH7",0.35
"CDH8",0.55
"CDH9",0.3
"CDH10",0.45
"CDH11",0.81
"CDH12",0.24
"CDH13",0.44
"CDH15",0.54
"CDH16",0.43
"CDH17",0.34
"CDH18",0.44
"CDK2",0.86
"CDK3",0.68
"CDK4",0.82
"CDK5",0.68
"CDK6",0.83
"CDK7",0.78
"CDK8",0.7
"CDK9",0.55
"CDKN1A",0.75
"CDKN1B",0.77
"CDKN1C",0.77
"CDKN2A",0.68
"CDKN2B",0.78
"CDKN2C",0.86
"CDKN2D",0.54
"CDKN3",0.94
"CDO1",0.7
"CDR1",0.46
"CDR2",0.64
"CDS1",0.69
"CDSN",0.58
"CD52",0.59
"CDX1",0.45
"CDX2",0.31
"CDX4",0.26
"CLGN",0.59
"CEACAM5",0.65
"CEBPA",0.51
"CEBPB",0.74
"CEBPD",0.78
"CEBPE",0.3
"CEBPG",0.9
"CEL",0.43
"CELP",0.33
"CENPA",0.91
"CENPB",0.66
"CENPC",0.54
"CENPE",0.93
"CENPF",0.91
"CES1",0.44
"CETN1",0.51
"CETN2",0.66
"CETN3",0.76
"CETP",0.61
"CFL1",0.79
"CFL2",0.89
"CTSC",0.88
"CFTR",0.62
"CGA",0.49
"CGB",0.36
"CEACAM3",0.28
"CEACAM7",0.52
"CEACAM8",0.34
"CEACAM4",0.54
"CEACAMP1",0.11
"CEACAMP3",0.24
"CHAD",0.51
"RCBTB2",0.64
"CHAT",0.31
"RCC1",0.84
"CHD1",0.84
"CHD2",0.82
"CHD3",0.64
"CHD4",0.72
"AKR1C4",0.33
"CHEK1",0.91
"FOXN3",0.78
"CHGA",0.34
"CHGB",0.5
"CHI3L1",0.67
"CHI3L2",0.66
"CHIT1",0.52
"CHKA",0.66
"CHKB",0.65
"CHM",0.8
"CHML",0.84
"CHN1",0.65
"CHN2",0.47
"CHRM1",0.43
"CHRM2",0.3
"LYST",0.58
"CHRM3",0.4
"CHRM4",0.36
"CHRM5",0.35
"CHRNA1",0.52
"CHRNA2",0.4
"CHRNA3",0.42
"CHRNA4",0.52
"CHRNA5",0.73
"CHRNA7",0.49
"CHRNB1",0.39
"CHRNB2",0.54
"CHRNB3",0.35
"CHRNB4",0.43
"CHRND",0.31
"CHRNE",0.36
"CHRNG",0.26
"CHUK",0.57
"CIDEA",0.43
"CKB",0.67
"CIRBP",0.86
"CISH",0.59
"TBCB",0.7
"CKM",0.34
"CKMT1B",0.71
"CKMT2",0.47
"ERCC8",0.64
"CKS1B",0.87
"CKS2",0.93
"AP2M1",0.77
"AP1S1",0.55
"AP2S1",0.7
"AP3S1",0.8
"CLC",0.26
"CLCA1",0.45
"CLCN1",0.36
"CLCN2",0.46
"CLCN3",0.77
"CLCN4",0.75
"CLCN5",0.74
"CLCN6",0.46
"CLCN7",0.58
"CLCNKA",0.38
"CLCNKB",0.53
"CLU",0.74
"CLIC1",0.73
"CLIC2",0.69
"CLK1",0.61
"CLK2",0.59
"CLK2P1",0.18
"CLK3",0.66
"TPP1",0.83
"CLN3",0.71
"CLN5",0.64
"CLNS1A",0.86
"CLPS",0.38
"CLPTM1",0.65
"CLTA",0.78
"CLTB",0.63
"CLTC",0.72
"CMA1",0.39
"CCR1",0.7
"CCR3",0.4
"CCR4",0.23
"CCR5",0.36
"CCR6",0.33
"CCR7",0.56
"CCR8",0.27
"ACKR2",0.49
"CMKLR1",0.4
"LTB4R",0.53
"ABCC2",0.53
"CNGB1",0.38
"CNGA1",0.55
"CNGA2",0.28
"CNGA3",0.4
"CNGA4",0.2
"PLK3",0.65
"CNN1",0.69
"CNN2",0.62
"CNN3",0.82
"CNP",0.7
"CNR1",0.49
"CNR2",0.32
"CNTF",0.62
"CNTFR",0.54
"CNTN1",0.69
"COL1A1",0.79
"COL1A2",0.83
"COL2A1",0.63
"COL3A1",0.73
"COL4A1",0.8
"COL4A2",0.83
"COL4A3",0.58
"COL4A4",0.62
"COL4A5",0.82
"COL4A6",0.64
"COL5A1",0.7
"COL5A2",0.7
"COL6A1",0.7
"COL6A2",0.68
"COL6A3",0.77
"COL7A1",0.66
"COL8A1",0.53
"COL8A2",0.53
"COL9A1",0.37
"COL9A2",0.65
"COL9A3",0.58
"COL10A1",0.42
"COL11A1",0.69
"COL11A2",0.41
"COL12A1",0.76
"COL13A1",0.65
"COL15A1",0.61
"COL16A1",0.61
"COL17A1",0.56
"COL19A1",0.32
"COMP",0.42
"COMT",0.62
"COPA",0.8
"COPB1",0.81
"KLF6",0.84
"SLC31A1",0.65
"SLC31A2",0.71
"CORT",0.71
"MAP3K8",0.79
"COX4I1",0.89
"COX5B",0.77
"COX6A1",0.79
"COX6A1P1",0.58
"COX6A2",0.43
"COX6B1",0.84
"COX6C",0.76
"COX7A1",0.61
"COX7A2",0.74
"COX7A2P2",0.42
"COX7B",0.85
"COX7C",0.74
"COX8A",0.8
"COX10",0.56
"COX11",0.78
"COX15",0.84
"CP",0.66
"CPA1",0.32
"CPA2",0.5
"CPA3",0.59
"CPB1",0.41
"CPB2",0.4
"CPD",0.82
"CPE",0.77
"CLDN4",0.56
"CLDN3",0.61
"CLDN7",0.68
"CPM",0.67
"CPN1",0.39
"CPN2",0.33
"CPOX",0.6
"CPS1",0.52
"CPT1A",0.77
"CPT1B",0.52
"CPT2",0.6
"CR1",0.71
"CR1L",0.51
"CR2",0.6
"CRABP1",0.6
"CRABP2",0.61
"CRAT",0.7
"CREB1",0.81
"ATF2",0.71
"CREBBP",0.72
"ATF6B",0.47
"CREBL2",0.75
"CREM",0.83
"CRH",0.58
"CRHBP",0.55
"CRHR1",0.38
"CRHR2",0.49
"CRIP1",0.78
"CRIP2",0.73
"CRK",0.57
"CRKL",0.72
"CRMP1",0.52
"CRP",0.33
"HAPLN1",0.51
"CRX",0.56
"CRY1",0.68
"CRY2",0.63
"CRYAA",0.29
"CRYAB",0.66
"CRYBA1",0.35
"CRYBA2",0.33
"CRYBA4",0.34
"CRYBB1",0.54
"CRYBB2",0.33
"CRYBB2P1",0.52
"CRYBB3",0.26
"CRYGA",0.39
"CRYGB",0.23
"CRYGC",0.23
"CRYGD",0.27
"CRYGS",0.54
"CRYM",0.54
"CRYZ",0.74
"CS",0.58
"MAPK14",0.69
"CSE1L",0.88
"CSF1",0.69
"CSF1R",0.61
"CSF2",0.51
"CSF2RA",0.43
"CSF2RB",0.53
"CSF3",0.47
"CSF3R",0.41
"CSH1",0.29
"CSH2",0.34
"CSHL1",0.34
"CSK",0.52
"CSN1S1",0.26
"CSN2",0.3
"CSN3",0.35
"CSNK1A1",0.81
"CSNK1D",0.71
"CSNK1E",0.77
"CSNK1G2",0.58
"CSNK1G3",0.64
"CSNK2A1",0.7
"CSNK2A2",0.87
"CSNK2B",0.79
"VCAN",0.75
"NCAN",0.36
"CSPG4",0.63
"CSRP1",0.84
"CSRP2",0.77
"SLC25A10",0.7
"CST1",0.28
"CST2",0.24
"CST3",0.81
"CST4",0.29
"CST5",0.38
"CST6",0.71
"CSTA",0.65
"CSTB",0.72
"CSTF1",0.68
"CSTF2",0.82
"CSTF3",0.86
"CSTP1",0.13
"CSTP2",0.11
"NKX2-5",0.38
"CTAG1B",0.33
"CTBS",0.71
"CTBP1",0.83
"CTBP2",0.66
"CTF1",0.38
"CTGF",0.87
"CTH",0.73
"CTLA4",0.56
"CTNNA1",0.73
"CTNNA2",0.36
"CTNS",0.59
"CTNNA1P1",0.3
"CTNNB1",0.49
"CTNND1",0.82
"CTNND2",0.64
"CTPS1",0.82
"CTRB1",0.42
"CTRL",0.26
"CTSB",0.83
"CTSD",0.69
"CTSE",0.32
"CTSG",0.51
"CTSH",0.75
"CTSK",0.65
"CTSL",0.74
"CTSV",0.82
"CTSLP2",0.15
"CTSLP8",0.13
"CTSO",0.77
"CTSS",0.76
"CTSW",0.42
"CTSZ",0.57
"CUX1",0.7
"CX3CR1",0.54
"CXADR",0.71
"TEX28",0.34
"CYB5A",0.72
"CYB5AP3",0.11
"CYB5AP4",0.27
"CYB561",0.75
"CYBA",0.68
"CYBB",0.71
"CYC1",0.78
"CYLC1",0.35
"CYLC2",0.36
"CYLD",0.74
"CYP1A1",0.56
"CYP1A2",0.43
"CYP1B1",0.75
"CYP2A6",0.48
"CYP2A7",0.52
"CYP2A7P1",0.27
"CYP3A7",0.7
"CYP2A13",0.26
"CYP2B6",0.55
"CYP2B7P",0.37
"CYP2C19",0.3
"CYP2C8",0.39
"CYP2C9",0.51
"CYP2C18",0.45
"CYP2D7",0.27
"CYP2D6",0.51
"CYP2D8P",0.19
"CYP2E1",0.62
"CYP2F1",0.39
"CYP2J2",0.61
"CYP3A4",0.71
"CYP3A5",0.61
"CYP4A11",0.49
"CYP4B1",0.61
"CYP7A1",0.19
"CYP8B1",0.48
"CYP11A1",0.45
"CYP11B1",0.34
"CYP11B2",0.22
"CYP17A1",0.42
"ADAM3A",0.46
"CYP19A1",0.53
"CYP21A2",0.27
"CYP24A1",0.57
"CYP26A1",0.45
"CYP27A1",0.58
"CYP27B1",0.56
"CYP51A1",0.71
"ADAM3B",0.2
"DAB1",0.5
"DAB2",0.82
"DACH1",0.59
"DAD1",0.83
"CD55",0.81
"DAG1",0.77
"DGKA",0.67
"DGKB",0.27
"DGKG",0.49
"DGKQ",0.78
"DAO",0.3
"DAP",0.71
"DAPK1",0.79
"DAPK3",0.62
"DARS",0.79
"DAXX",0.36
"DAZ1",0.48
"DAZL",0.29
"BRINP1",0.44
"DBH",0.41
"DBI",0.77
"DBIP1",0.12
"DBN1",0.75
"DBP",0.56
"DBT",0.72
"DCC",0.57
"ECI1",0.7
"DCK",0.76
"DCN",0.79
"DCTD",0.73
"ACE",0.36
"DCT",0.65
"DCTN1",0.65
"DCX",0.41
"DDB1",0.75
"DDB2",0.73
"DDC",0.67
"AKR1C1",0.77
"AKR1C2",0.66
"GADD45A",0.82
"DDIT3",0.63
"DDOST",0.74
"DDT",0.85
"DDX1",0.89
"DDX3X",0.64
"DDX5",0.89
"DDX6",0.68
"DMXL1",0.74
"DHX8",0.7
"DHX9",0.76
"DDX10",0.76
"DDX11",0.81
"DHX15",0.71
"DECR1",0.65
"DEFA1",0.52
"DEFA3",0.43
"DEFA4",0.34
"DEFA5",0.44
"DEFA6",0.43
"DEFB1",0.7
"DEFB4A",0.4
"DES",0.89
"CFD",0.61
"DFFA",0.76
"DFFB",0.28
"TIMM8A",0.51
"DFNA5",0.65
"COCH",0.72
"DGUOK",0.83
"DHCR7",0.73
"DHCR24",0.72
"DHFR",0.89
"LOC1720",0.3
"DHODH",0.63
"DHPS",0.68
"CYB5R3",0.64
"NQO1",0.8
"DIAPH1",0.78
"DIAPH2",0.74
"SEPT1",0.65
"DIO1",0.29
"DIO2",0.73
"DIO3",0.45
"DKC1",0.92
"DLAT",0.68
"DLD",0.82
"DLG1",0.73
"DLG2",0.64
"DLG3",0.73
"DLG4",0.49
"DLST",0.45
"DLSTP1",0.48
"DLX1",0.62
"DLX2",0.65
"DLX3",0.59
"DLX4",0.59
"DLX5",0.39
"DLX6",0.56
"DMBT1",0.53
"DMD",0.77
"SARDH",0.59
"DMP1",0.42
"DNM1",0.68
"DMPK",0.53
"DMRT1",0.29
"DMWD",0.76
"DNA2",0.88
"DNAH5",0.44
"DNAH6",0.33
"DNAH8",0.55
"DNAH9",0.58
"DNASE1",0.66
"DNASE1L1",0.79
"DNASE1L2",0.33
"DNASE1L3",0.6
"DNASE2",0.69
"DYNC1H1",0.76
"DYNC1I1",0.53
"DYNC1I2",0.62
"DYNC1LI2",0.65
"DNM2",0.73
"DNMT1",0.92
"TRDMT1",0.65
"DNMT3A",0.61
"DNMT3B",0.74
"DNTT",0.31
"DOCK1",0.62
"DOCK2",0.6
"DOCK3",0.37
"DOK1",0.65
"DXO",0.56
"DPAGT1",0.77
"DPEP1",0.42
"DPH1",0.66
"DPH2",0.42
"DPP4",0.63
"DPP6",0.5
"DPT",0.59
"DPYD",0.54
"DPYS",0.38
"DPYSL2",0.79
"DPYSL3",0.79
"DR1",0.87
"SLC26A3",0.39
"DRD1",0.34
"DRD2",0.5
"DRD3",0.24
